fid,neighbourhood,Number of households,Population size,Average household size,sex ratio,population 0-14 yrs old (%),population 15-64 yrs old (%),population 65+ yrs old (%),curaçaoan-born population (%),foreign-born population (%),first generation migrants (%),second generation migrants (%),population with native background (%),population with intention to leave (%),population with intention to stay (%),income_ang,general fertility rate (children per women 15-49),Unemployment rate (%),Participation rate (%),hindrance of air pollution (%),living accommodations in bad condition (%),never married population (%),married population (%),divorced population (%),population living in consensual union (%),neighbourhood area (km²),x,y
142,KLEIN MARCHENA,203,510,2.5,88,17.6,71,11.4,82.3,17.7,17.7,18.7,63.5,1.8,69.6,3262,51,10.7,60.2,16.7,11.3,43.8,29.8,5.4,13.1,,,
143,WATERLOO,888,2521,2.8,87,25.4,71.1,3.5,70.8,29.2,29.3,22.3,48.4,6.2,60.6,8292,34,3.2,74.4,4.7,0.7,28,52.4,2.1,9.4,,,
144,GROOT KWARTIER ZUID,40,126,2.6,84,14.3,52.4,33.3,58.7,41.3,41.6,25.6,32.8,3.3,71.9,7241,,,,,1.8,28.6,48.6,11.4,4.8,,,
145,WAWU BIJ LUDUNU,38,123,3.2,78,17.1,67.5,15.4,89.4,10.6,10.6,7.3,82.1,1.6,66.4,4448,,,,42.1,5.3,51.5,33.7,4,7.9,,,
146,GROOT PISCADERA,240,749,2.7,94,12.4,78.4,9.2,72.1,27.9,28,18.2,53.8,14.1,60.2,8385,40,7.8,66.4,10.5,2.5,39.9,40.7,3.3,9.3,,,
147,GROTE BERG,289,841,2.9,94,26.4,68.7,4.9,60.8,39.2,39.4,16.7,43.9,14.4,53.7,9767,46,5.2,68.5,13.6,0.4,22.6,55.9,1.9,16,,,
148,HAMBER,20,60,3,,,,,,,,,,,,,,,,20,25,52.9,35.3,7.8,0,,,
149,HANENBERG,232,618,2.7,86,21.2,67.3,11.5,77.1,22.9,23,15.8,61.2,4.9,60.4,5833,30,7.8,66.1,6.1,3.5,34.6,39.3,5.1,13.2,,,
150,HARMONIE,63,159,2.5,94,19.5,65.4,15.1,85.5,14.5,14.6,8.2,77.2,1.3,59.7,3477,,,,3.2,7.9,44.8,32.8,6.4,11.2,,,
151,HOENDERBERG,111,280,2.5,67,18.2,73.6,8.2,81.1,18.9,19,22.2,58.8,3.5,60.2,7024,,2.5,69.4,6.4,,37.3,45.3,1.8,4.4,,,
152,WEIS,330,816,2.5,81,13.7,64.8,21.4,78.1,21.9,22,20.4,57.7,2,64.1,4401,46,7.6,56.4,10,4.3,36.6,36.9,8.8,8.7,,,
153,ILAND,56,152,2.7,88,20.4,62.5,17.1,64.5,35.5,35.5,27.6,36.8,0,81.1,6513,,,,1.8,3.6,31.7,43.3,6.7,12.5,,,
154,JAN BOOS,127,339,2.7,85,18.6,68.7,12.7,79.3,20.7,20.7,15.6,63.8,3.7,65.2,5142,,9.6,64.1,4.7,7.1,36.3,34.5,6.7,13.1,,,
155,QUINTA VIOLETA,152,395,2.6,95,21.5,67.6,10.9,56.5,43.5,43.7,33.8,22.6,1,65.4,4449,,5.7,67.4,13.2,16.7,28.7,44.3,6.2,13,,,
156,JAN SOFAT,219,580,2.6,95,20.7,64.7,14.7,47.6,52.4,52.6,30.1,17.2,6.7,71.6,11988,95,3.5,61.3,5.1,,15.5,63.6,4,11.5,,,
157,JAN THIEL,590,1490,2.5,87,21.3,68.9,9.7,55.4,44.6,44.6,26.4,29.1,9.2,61.4,11165,53,3.4,69.7,3.1,0.5,20.7,55.7,4.1,11.4,,,
158,JANCHI WEVER,22,58,2.6,,,,,,,,,,,,,,,,13.6,,23.9,69.6,0,4.3,,,
159,WELATINA,148,435,2.9,88,20.5,65.5,14,80.2,19.8,19.8,13.1,67.1,3.3,75.4,4204,43,13.5,59.8,34.5,9.7,48.5,25.9,7.4,11.8,,,
160,JANDORET,669,1841,2.8,78,18,67,15,84.5,15.5,15.6,11.8,72.7,2.8,68.3,4834,59,11.4,56.7,12.4,3.3,42.5,34,6,10.4,,,
161,HABAAI,75,407,2.2,65,6.4,28.5,65.1,77.3,22.7,30.1,17.6,52.3,2.3,84.4,5046,,,,83.5,2.2,47.5,17.7,17.9,5,,,
162,JANWE,70,183,2.6,93,13.7,66.7,19.7,67.6,32.4,32.4,26.4,41.2,9.3,66.3,6450,,,,12.9,1.4,30.1,44.9,9.6,7.7,,,
163,WELTEVREDEN,27,76,2.8,,,,,,,,,,,,,,,,18.5,14.8,42.4,35.6,3.4,15.3,,,
164,JENEFU,31,86,2.8,,,,,,,,,,,,,,,,38.7,6.5,59.7,27.8,4.2,5.6,,,
165,WESTPUNT,256,738,2.9,96,17.9,64.2,17.9,93.4,6.6,6.6,6.9,86.4,1.5,57.3,4213,20,14.8,51.2,6.1,1.6,44.4,33.6,8.7,6.4,,,
166,JONCHI,15,46,3.1,,,,,,,,,,,,,,,,6.7,,20,68.6,5.7,0,,,
167,WETO (Rehderslust),258,750,2.9,80,22.1,68,9.9,85.1,14.9,14.9,14.2,70.8,1.9,61,3769,53,11.5,65.2,8.9,4.7,43.8,32.5,6.3,8.6,,,
168,JONGBLOED,1246,3193,2.5,89,19.3,64.7,16,68.4,31.6,31.7,22,46.3,6.4,63.3,6414,51,7.2,62.1,6.4,4,31.6,43.7,6.6,9,,,
169,WISHI,328,841,2.6,75,20.5,66.9,12.6,69.5,30.5,30.7,17.4,52,6.7,54,2918,62,12.8,59.6,82.2,12.5,46.4,27.8,6.2,11.8,,,
170,JONISBERG,159,426,2.7,89,17.4,63.1,19.5,68.6,31.4,31.4,28.1,40.4,4.8,61.2,4720,36,6.2,55.1,5.1,8.8,40,38.8,6.4,5.5,,,
171,ZAKITO,98,228,2.3,93,14,64.5,21.5,58.8,41.2,41.2,17.5,41.2,8.1,59.5,9208,,,,60.2,8.3,35.1,43.3,6.2,7.7,,,
172,ZEELANDIA,88,135,1.5,39,6.7,37.8,55.6,63,37,37.3,32.8,29.9,0.7,67.9,5912,,,,5.7,,23,30.2,27.8,1.6,,,
173,JUAN BAEZA,180,444,2.5,91,21.8,66.2,11.9,69.4,30.6,30.8,16.4,52.8,3.5,63.2,3075,73,6,62,37.9,3.9,36.7,36.1,5.6,14.4,,,
174,ZEGU,65,192,3,76,17.7,70.3,12,81.8,18.2,18.5,12.2,69.3,6.7,58.3,3628,,,,35.4,11.1,33.3,42,6.7,14,,,
175,JUAN DOMINGO BIJ COLON,62,168,2.7,81,19.6,61.3,19,79.2,20.8,21,25.7,53.3,3.1,73.1,6839,,,,23,4.9,34.8,35.6,7.6,13.6,,,
176,JUAN DOMINGO BIJ MAHUMA,333,955,2.9,77,25.9,63.9,10.3,85.6,14.4,14.4,11.8,73.8,5.7,62.5,3808,57,11.2,61.9,16.3,19.2,41.8,35.2,4.2,12,,,
177,NOORD STA. ROSA,129,355,2.8,87,22,66.8,11.3,81.6,18.4,18.4,13,68.6,1.2,58.4,4113,59,11.8,61,3.1,8.6,39,35.3,5.6,10.8,,,
178,JUAN HATO,236,603,2.6,92,13.8,64.2,22.1,80.8,19.2,19.2,17.7,63.1,2.9,62.6,5302,69,7.2,56.2,8.5,4.3,36.1,37.3,11.1,8.8,,,
179,ZUURZAK,102,312,3.1,84,32.4,61.5,6.1,56.1,43.9,43.9,26.9,29.2,7.7,50.5,13179,,3.6,80.1,4.1,,12,67,1,17.2,,,
180,ZUURZAK BIJ BLOMONTE,44,119,2.7,70,19.3,69.7,10.9,78,22,22.2,24.8,53,2.7,58,5674,,,,9.1,,32.3,39.8,4.3,14,,,
181,JUANOTA,41,107,2.6,84,17.8,71,11.2,73.6,26.4,26.4,9.4,64.2,0,68.2,4629,,,,7.3,19.5,40,17.6,9.4,23.5,,,
182,SCHARLOO,23,53,2.3,,,,,,,,,,,,,,,,8.7,30.4,29.5,36.4,6.8,15.9,,,
183,JULIANADORP,393,1068,2.7,96,21.7,64,14.2,45,55,55,22.3,22.6,13.7,62.7,10937,27,4.1,58.5,31.9,0.8,17.7,62.6,4.5,9.3,,,
184,BATAVIERWIJK,30,71,2.4,,,,,,,,,,,,,,,,26.7,20,49.1,29.8,5.3,5.3,,,
185,KALABARI,92,230,2.5,70,18.7,60.4,20.9,80.4,19.6,19.6,15.7,64.8,3.1,60.4,4401,,13.9,54,5.4,5.5,36.6,34.4,10.8,11.3,,,
186,COCOWIJK,53,140,2.6,73,17.9,67.9,14.3,65.2,34.8,35.1,20.9,44,0.7,47,2655,,,,21.2,48.1,38.7,29.7,9.9,9.9,,,
187,KANGA,378,972,2.6,85,19.2,66.6,14.2,64.8,35.2,35.3,18.4,46.3,3.4,59.5,3113,50,9.3,60.4,7.9,7.4,41.2,35.4,6.1,10.6,,,
188,KAS CHIKITU,45,118,2.6,97,21.2,69.5,9.3,72.9,27.1,27.1,14.4,58.5,3.4,50,2372,,,,86.7,15.6,46.1,24.7,4.5,16.9,,,
189,RUST EN VREDE BIJ BRIEVENGAT,34,96,2.8,,,,,,,,,,,,,,,,5.9,,32.9,51.9,3.8,8.9,,,
190,KATOENTUIN,93,241,2.6,90,22.8,69.7,7.5,59.3,40.7,40.7,19.9,39.4,5.6,74.6,9547,,4.8,66.7,6.5,,18.3,53.3,6.7,14.4,,,
191,NORMANDIE,82,196,2.4,87,17.3,68.9,13.8,56.1,43.9,43.9,15.3,40.8,0.5,60.8,4709,,12.7,67.9,19.5,22.2,43.4,34.6,10.1,6.3,,,
192,KENT U ZELF,97,284,2.9,76,25,66.5,8.5,80.6,19.4,19.4,15.5,65,3.2,53.6,3643,,11.1,67.6,5.2,7.2,34,36.8,5.7,14.6,,,
193,BELLEVUE,32,65,2,,,,,,,,,,,,,,,,,6.3,29.3,34.5,5.2,13.8,,,
194,KINTJAN,100,231,2.3,76,14.3,63.6,22.1,60.8,39.2,39.2,23.8,37,4.2,62.3,7871,,11.1,63.6,7.1,3,30.6,45.6,6.2,5.7,,,
195,TONI KUNCHI,129,379,2.9,89,22.2,65.4,12.4,60.2,39.8,39.8,32.5,27.7,19,57,11732,,1.1,60.7,5.4,0.8,21.7,62.1,4.8,5.2,,,
196,KIRINDONGO ABOU,567,1768,3,82,21.5,71.4,7.1,85.4,14.6,14.6,12.3,73.1,1.4,62.7,3524,56,19,60.9,16,9.8,50,28.1,3.7,10.7,,,
197,VIVIR CONTENTO,72,175,2.4,86,24,57.7,18.3,80,20,20,24.6,55.4,0,75.9,3237,,,,5.6,11.4,49.6,21.4,6.1,13.7,,,
198,KLEIN DAVELAAR,44,104,2.4,76,18.3,60.6,21.2,54.8,45.2,45.2,32.7,22.1,4.9,44.7,6948,,,,16.3,2.3,26.5,39.8,9.6,12,,,
199,ROOI INDJAN,29,79,2.7,,,,,,,,,,,,,,,,13.8,6.9,52.9,23.5,7.8,5.9,,,
200,KLEIN KWARTIER,216,593,2.7,95,21.9,65.9,12.1,72.3,27.7,27.8,20,52.2,4,68.9,5524,42,9.2,66.3,9.8,13,31.9,44,4.6,11.3,,,
201,VERGENOEGD,24,74,3.1,,,,,,,,,,,,,,,,4.2,,39.3,44.3,4.9,8.2,,,
202,KLEIN ST. MICHIEL,461,1350,2.9,89,25.1,72.7,2.1,87,13,13,18.3,68.7,3.4,66.7,6879,35,4.9,74.8,55.6,1.1,35.8,45.1,1.3,10.3,,,
203,KOLONCHI,44,98,2.2,,,,,,,,,,,,,,,,4.5,,25.6,41.5,9.8,9.8,,,
204,TRAI SERU,343,884,2.6,81,22.4,67.1,10.5,76.5,23.5,23.6,18.5,58,3.8,64.8,6020,48,6.9,63.7,4.1,7.6,41.7,33.7,4.5,14.1,,,
205,KORAAL PARTIR,346,910,2.6,79,22.7,69,8.2,72.1,27.9,28,20.2,51.8,6.5,62.9,7493,49,4,74.1,6.1,1.5,26.5,43,2.8,14.2,,,
206,WELGELEGEN BIJ HABAAI,42,111,2.6,68,16.2,64.9,18.9,75.5,24.5,24.5,20,55.5,2.9,66.7,8338,,,,59.5,,27.5,50.5,5.5,6.6,,,
207,KORAAL SPECHT,883,3064,2.9,74,16.1,67.7,16.3,80.7,19.3,19.5,20,60.5,6.4,55.7,3976,47,19.5,48.6,14.9,5.4,52.7,23.9,7.2,9.5,,,
208,SCHOONEBOOM,22,61,2.8,,,,,,,,,,,,,,,,4.5,18.2,28.3,45.7,2.2,15.2,,,
209,HERST,64,144,2.3,80,16.7,61.8,21.5,63.9,36.1,36.1,25,38.9,12.2,56.8,6902,,,,4.7,1.6,30.2,37.1,6,12.9,,,
210,KORPORAAL,208,521,2.5,88,17.3,59.3,23.4,68.1,31.9,32.2,28.3,39.6,5.6,66.1,7771,75,3.3,55.5,1.9,1.5,25.1,51.8,6.6,9.4,,,
211,MONTE BELLO,91,206,2.3,82,18.4,60.2,21.4,55.7,44.3,44.6,21.8,33.7,0.5,54,4307,,,,22.2,17.8,42.3,29.4,7.4,13.5,,,
212,WANAPA,10,27,2.7,,,,,,,,,,,,,,,,10,,36.4,36.4,4.5,9.1,,,
213,KUDISHI,12,25,2.1,,,,,,,,,,,,,,,,,,4.3,65.2,8.7,13,,,
214,JAN LUIS,97,321,3.3,81,22.4,70.7,6.9,73.7,26.3,26.4,16.4,57.2,1.3,56.5,4040,,13.8,61,5.2,8.3,37.8,41.2,5.9,13,,,
215,KUNUKU GRANDI,52,136,2.6,92,16.9,73.5,9.6,77.2,22.8,22.8,16.2,61,1.5,64.4,5874,,,,1.9,17.3,49.1,26.8,6.3,8.9,,,
216,MONTAÑA REY,1287,3569,2.8,80,19.2,66.2,14.6,84.6,15.4,15.5,12.3,72.2,2.7,64.3,4384,38,9.3,60,12.3,6.3,42.2,33.8,5.9,9.9,,,
217,KUSTBATTERIJ,304,829,2.7,74,20.1,64.8,15.1,83.9,16.1,16.2,22.7,61.1,1.8,56,3405,24,18.7,52.6,7.2,2.6,54.5,24.4,5.2,6.5,,,
218,RECOMPENSA,283,782,2.8,80,18.7,67.1,14.2,78.5,21.5,21.7,13.7,64.6,3.4,56.1,5157,32,8.5,57.2,6.4,4.3,42,33.8,5.5,13.5,,,
219,KWARCHI,234,670,2.9,95,19.7,68.1,12.2,74,26,26,19.9,54,10.7,56,6943,28,7.5,62.3,4.3,3.9,33.3,45.5,5.2,8.6,,,
220,SABANA CRAS,166,450,2.7,89,18.4,66,15.6,85,15,15,9.6,75.4,3.5,73,4313,37,9.7,53.4,9.7,4.3,42.1,32.2,8.2,13,,,
221,LA FAMAWIJK,35,88,2.5,,,,,,,,,,,,,,,,20,5.7,46.4,15.9,5.8,18.8,,,
222,SERU GRANDI (Sabana Baka),213,557,2.6,83,18.7,68.6,12.7,87.5,12.5,12.5,10.1,77.4,1.7,66.2,3890,27,10.9,60.9,10.5,9.6,38.3,34.4,6.7,11.5,,,
223,LABADERA,27,71,2.6,,,,,,,,,,,,,,,,,,18.2,60,5.5,9.1,,,
224,CHRISTOFFEL (geozone),8,40,5,,,,,,,,,,,,,,,,,,38.7,48.4,3.2,3.2,,,
225,WEST GROOT ST. JORIS,10,26,2.6,,,,,,,,,,,,,,,,10,10,20,60,5,15,,,
226,AMERIKANENKAMP (Dulce Esperansa),157,394,2.5,74,17.5,62.9,19.5,76.1,23.9,23.9,25.2,50.9,5.1,68.5,4977,,10.2,57.5,9.6,4.5,37.5,35.9,6,8.9,,,
227,LANG LEVEN (Langule),43,117,2.7,89,25.6,69.2,5.1,66.1,33.9,33.9,20.9,45.2,10.9,60.9,5749,,,,2.4,,23.2,52.4,2.4,12.2,,,
228,LIBIE,57,138,2.4,106,18.1,66.7,15.2,86.2,13.8,13.8,14.5,71.7,4.6,75.4,3879,,,,5.3,12.3,32.7,38.2,5.5,10.9,,,
229,KORTIJN,28,55,2,,,,,,,,,,,,,,,,29.6,29.6,55.3,19.1,6.4,8.5,,,
230,LIJSJE,27,70,2.6,,,,,,,,,,,,,,,,,7.7,50,25,6.7,8.3,,,
231,PANAMA,24,59,2.5,,,,,,,,,,,,,,,,37.5,,38,38,12,2,,,
232,HULANDA BIJ SERU OTROBANDA,69,189,2.3,76,13.8,71.4,14.8,71.4,28.6,28.9,19.3,51.9,3.8,58.8,3523,,,,32.4,15.2,37.3,28.6,6.8,14.3,,,
233,LUDUNU,39,110,2.8,83,24.5,60.9,14.5,92.7,7.3,7.3,3.6,89.1,2.9,84.8,4444,,,,25.6,23.1,40,28.8,6.3,17.5,,,
234,LUIS PAULA,164,422,2.4,84,13.7,74.9,11.4,65.4,34.6,34.8,13.6,51.6,3.2,68.9,3624,54,9,62.8,8,5.5,48.4,28,5.2,12.4,,,
235,RIF BIJ OTROBANDA,144,288,2,61,14.2,66.3,19.4,71.4,28.6,28.7,19.2,52.1,1.4,70,3013,,13.5,57.1,18.3,3.7,55.3,18.1,5.9,10.5,,,
236,MA LOUISA,59,143,2.4,104,17.5,69.9,12.6,84.5,15.5,15.5,8.5,76.1,6.6,63.2,3613,,,,6.8,12.3,31.6,44.7,3.5,11.4,,,
237,WEIS AFO,44,114,2.6,73,14.9,64.9,20.2,46.5,53.5,54.5,24.1,21.4,17.8,54.2,2917,,,,9.1,4.5,36.8,41.1,4.2,8.4,,,
238,MADURO,43,127,3,84,28.3,58.3,13.4,75.6,24.4,24.4,15,60.6,0.8,96.7,3590,,,,23.3,7,26.7,38.9,6.7,12.2,,,
239,SAN FUEGO,40,101,2.5,74,16.8,65.3,17.8,73.3,26.7,26.7,26.7,46.5,,,6920,,,,7.5,7.5,28.4,43.2,7.4,4.9,,,
240,MAHAAI,152,389,2.6,80,21.1,61.2,17.7,51.3,48.7,48.8,30.3,20.9,8.9,60.5,12358,,5,65.1,7.9,1.3,23.7,53,7.3,6,,,
241,NABIJ VETTER,65,192,3,100,24.5,71.9,3.6,78.6,21.4,21.4,22.4,56.3,5.1,57.3,7084,,2.8,73.1,7.7,1.5,23.1,43.3,0.7,20.1,,,
242,MAHUMA,1274,3446,2.7,88,18,66.3,15.7,80.9,19.1,19.1,14.2,66.6,3.5,65.8,5125,34,8.2,57.9,10.1,3.5,35.4,40.9,6,10.2,,,
243,NOORD ZAPATEER,830,2401,2.9,80,20.7,70.4,8.9,84.7,15.3,15.4,15,69.7,3.6,58.5,4720,40,13.4,61.9,12.1,4.1,45,33.4,2.6,10.1,,,
244,ZUID ABRAHAMSZ,50,152,3,90,22.4,72.4,5.3,77,23,23,15.1,61.8,6.6,50.3,3781,,,,8,12,36,27.2,6.1,24.6,,,
245,MANGUSA,28,60,2.1,,,,,,,,,,,,,,,,14.3,,23.6,54.5,3.6,7.3,,,
246,MARCHENA,236,584,2.5,79,19,67.5,13.5,70.8,29.2,29.2,14.6,56.2,2.6,80.4,3454,27,10.2,62.2,84.7,19.1,47.7,25.2,6.1,14.2,,,
247,NABIJ STA. ROSA,117,304,2.6,89,19.4,67.4,13.2,84.2,15.8,15.8,8.6,75.7,2,57.4,5476,,8.5,62.4,2.6,9.4,44,34.2,7.4,6.6,,,
248,ZAPATEER ZUID,186,487,2.6,77,28.3,69,2.7,79.1,20.9,20.9,22.3,56.8,7.3,50.6,7103,29,6.5,79.9,3.8,,34.1,42.6,3.2,13.2,,,
249,MARIA MAGDALENA,52,150,2.9,76,16,70.7,13.3,86.7,13.3,13.4,21.5,65.1,7.6,75.9,3879,,,,23.5,23.1,49.2,30.6,2.4,8.1,,,
250,SALIÑA,151,361,2.4,88,18.6,63.2,18.3,62.7,37.3,37.3,24.5,38.2,1.4,69.1,4000,,11,65,11.4,2.7,34.4,35.8,7,15.1,,,
251,MARIE PAMPOEN,547,1319,2.4,82,15.6,65.6,18.8,75.5,24.5,24.6,22.2,53.2,3.2,66.1,4698,42,11.2,53.6,4.1,1.8,44.6,26.6,10,9.5,,,
252,SER'I KANDELA,508,1376,2.7,90,23.3,72.2,4.4,63.6,36.4,36.5,17.1,46.4,2.8,59,3951,64,9.7,75,8.9,12.1,39.1,30.6,2.7,17.8,,,
253,MATANCIA BIJ GROOT KWARTIER,151,419,2.8,86,17.4,63.5,19.1,63.6,36.4,36.5,31.3,32.2,8.6,67.3,9933,19,3.5,58.4,4.7,3.4,24.9,58.2,3.9,8.3,,,
254,MINA SCHARBAAI,12,41,3.4,,,,,,,,,,,,,,,,83.3,54.5,45.2,29,9.7,12.9,,,
255,SOUAX-WEST,526,1516,2.8,90,21.6,69.5,8.9,82.7,17.3,17.4,12.6,70,1.6,67.9,4173,41,11.2,65,13.2,13.4,38.4,34.4,5.5,15.5,,,
256,SOUAX-OOST,517,1418,2.7,93,19.8,71.8,8.4,79.5,20.5,20.6,13.9,65.5,2.3,64.6,4092,49,9.8,63.5,8.2,9.6,38.6,35.9,3.4,15.8,,,
257,MINGUELITO,165,426,2.6,84,22.3,66.9,10.8,77.2,22.8,22.8,13.6,63.5,1.7,69.1,5360,74,8.1,71,8.6,6.7,35.5,39.5,3.7,14.2,,,
258,MIRLA PLATE,59,163,2.8,94,19,68.7,12.3,82,18,18.1,13.8,68.1,1.9,90.6,2933,,,,81.4,16.9,54.8,27.8,4.8,7.9,,,
259,NIEUW NEDERLAND,124,276,2.2,69,20.3,63.4,16.3,60.9,39.1,39.6,27.8,32.6,1.8,66.2,2802,,13.4,57.7,17.7,14.6,50.2,25.3,6.9,8.8,,,
260,LAGUN,116,321,2.8,86,16.5,64.8,18.7,91.9,8.1,8.2,5,86.8,0.6,58.2,3690,,6.1,55.2,3.9,1.7,42.8,40.1,7.8,5.8,,,
261,MON REPOS,93,270,2.6,80,14.4,69.3,16.3,77,23,23,24.8,52.2,1.9,78.9,6458,,7.6,59.3,9.6,6.5,41.3,43.9,3.5,3.5,,,
262,TERA PRETU (geozone),88,271,3.1,98,23.2,61.3,15.5,88.5,11.5,11.5,10.7,77.8,3.7,68.1,3329,,20,62.5,1.1,4.6,46.8,39,6.8,4.9,,,
263,MONCHI,179,500,2.8,84,21.4,68.6,10,83.5,16.5,16.5,11.7,71.8,0.2,60.1,3614,51,13,60.6,5.6,10.7,42.5,34.4,5.8,9.4,,,
264,MONTAÑA ABOU,1039,2942,2.8,74,20.7,71.3,8,82.5,17.5,17.5,17.2,65.2,3.5,61.3,4653,45,13.7,64.8,7.4,3.9,44.8,33.6,4.5,8.9,,,
265,FLIP (geozone),190,601,3.2,81,18.5,66.6,15,91.4,8.6,8.6,5.7,85.7,3,61.6,3435,13,25.1,48,10.2,11.6,44.9,34.8,6.1,8,,,
266,LELIENBERG (geozone),370,1101,3,98,18.3,63.9,17.8,95.3,4.7,4.7,4.5,90.7,0.9,68.3,4156,38,9.9,52.6,5.4,8.1,44.2,31.7,9.3,10.1,,,
267,PANNEKOEK (geozone),139,365,2.6,94,15.1,65.8,19.2,82.9,17.1,17.1,4.8,78.2,2,61.2,5322,,10.3,50,0.7,2.9,38.5,42.1,7.4,5.4,,,
268,BARBER,784,2412,3.1,81,21.9,63.3,14.8,92.7,7.3,7.3,6.4,86.3,1.9,61.3,4358,52,10.6,56.3,4.4,4.2,41,38.1,5.9,9.1,,,
269,SERU FORTUNA,281,826,2.9,83,25.3,67.7,7,89.3,10.7,10.7,14.6,74.7,2.9,55.2,3900,42,13.8,69,4.3,4.6,47,30.5,2.5,12.8,,,
270,GAITU,67,168,2.5,66,17.9,52.4,29.8,58.3,41.7,41.7,31,27.4,8.8,64.4,11558,,,,13.4,,23.7,51.9,12.6,2.2,,,
271,EMMASTAD,252,738,2.6,87,19.5,63.7,16.8,59,41,41.2,26.2,32.6,3.1,60.1,9602,76,5,60.9,17.3,4.5,32.6,51.2,7.5,3.8,,,
272,SANS SOUCI,122,269,2.2,66,17.8,72.1,10,68.8,31.2,31.2,10.8,58,2.7,63.2,2853,,14.5,62.4,78.7,19,50.7,30.6,5,9.6,,,
273,ASIENTO (geozone),0,0,,,,,,,,,,,,,,,,,,,,,,,,,
274,NIEUWE HAVEN (geozone),0,0,,,,,,,,,,,,,,,,,,,,,,,,,
275,KORAAL TABAK,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
276,PUNDA,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,MONTE CARMELO,179,417,2.3,77,18.9,66.4,14.6,55.7,44.3,44.5,31.6,23.8,5.4,64.5,2899,37,8.2,65.1,10.7,16.9,35.3,29.9,10,15.4,,,
278,NOORDKANT (Rancho),0,0,,,,,,,,,,,,,,,,,,,,,,,,,
279,MONTE VERDE,223,591,2.6,78,20.3,66.8,12.9,64.6,35.4,35.7,27.8,36.5,1.1,61.5,3091,37,15.1,61.6,5.8,15.5,48.3,24.6,6.1,14.1,,,
280,MUIZENBERG NOBO,467,1266,2.6,81,15.6,68.2,16.2,81.3,18.7,18.8,17.8,63.4,2.1,66.7,5140,31,9.7,52.2,11.4,3.1,36.7,42.7,5.5,8.3,,,
281,MUNDO NOBO,250,613,2.5,75,18.6,65.9,15.5,75.2,24.8,24.9,19.1,56,1.7,50,4270,39,8.5,58.9,30,7.6,42.4,31.6,6.3,9.2,,,
282,STA. ROSA,582,1683,2.6,83,20.8,62.4,16.8,79.4,20.6,20.7,17.1,62.2,2.4,63.6,4971,66,8.8,61.8,5.2,4.7,37.9,37.9,6.5,8.8,,,
283,NANIE,98,246,2.5,102,20.3,61.4,18.3,77.6,22.4,22.4,18.4,59.2,2,55.1,4887,,7.8,59.2,7.1,7.1,31.8,41.7,8.3,12,,,
284,ZEEWIJK/PEN,70,182,2.5,74,14.3,61,24.7,59.1,40.9,41.1,17.8,41.1,13.9,67.6,8164,,,,6.4,5,35.5,38.8,7.2,8.6,,,
285,NOOIT GEDACHT,124,338,2.6,88,15.4,59.8,24.9,77,23,23,21.2,55.8,2.1,69.6,4614,,11,56.4,9.7,8.9,38.9,38.2,7.1,8.9,,,
286,NOORWEGEN,139,335,2.3,79,12.2,66.6,21.2,68,32,32.2,22,45.8,1.8,62.6,5262,,10.2,59.6,13,7.2,34,37.5,11,7.2,,,
287,ONVERWACHT,98,250,2.6,81,15.6,70.8,13.6,76.8,23.2,23.2,28,48.8,2.1,70.4,4816,,11.4,62.6,14.3,10.4,39.6,32.4,7.7,12.6,,,
288,OUDEWATER,274,779,2.8,94,19.9,71,9.1,81.4,18.6,18.7,14.8,66.6,3.5,63.1,5753,60,11.3,60.7,10.6,7,37.5,35.5,4.9,14,,,
289,SAN MATEO,76,164,2.2,62,11.6,65.2,23.2,62.7,37.3,37.3,22.4,40.4,8.3,59.2,5267,,,,35.5,17.1,38.8,30.9,7.2,15.1,,,
290,PAPAYA ABOU,39,122,3.1,74,27.9,65.6,6.6,81.1,18.9,19,13.2,67.8,0.9,49.6,3994,,,,5.1,7.7,55.8,24.4,7,7,,,
291,PARADIJS,36,117,3.3,89,29.9,59,11.1,77.8,22.2,22.2,21.4,56.4,2.6,55.7,5112,,,,63.9,6.1,36.6,34.1,7.3,17.1,,,
